Nombre;Especie;Género;Familia;Orden
;Funisciurus congicus;Funisciurus;Sciuridae;RODENTIA
;Taterillus congicus;Taterillus;Muridae;RODENTIA
;Mops congicus;Mops;Molossidae;CHIROPTERA
;Crocidura congobelgica;Crocidura;Soricidae;SORICOMORPHA
;Niviventer coninga;Niviventer;Muridae;RODENTIA
;Ctenomys conoveri;Ctenomys;Ctenomyidae;RODENTIA
;Lagorchestes conspicillatus;Lagorchestes;Macropodidae;DIPROTODONTIA
;Pteropus conspicillatus;Pteropus;Pteropodidae;CHIROPTERA
;Micoureus constantiae;Micoureus;Didelphidae;DIDELPHIMORPHIA
;Brotomys contractus;Brotomys;Echimyidae;RODENTIA
;Caenolestes convelatus;Caenolestes;Caenolestidae;PAUCITUBERCULATA
;Rhinolophus convexus;Rhinolophus;Rhinolophidae;CHIROPTERA
Ratón de Cook;Mus cookii;Mus;Muridae;RODENTIA
;Melomys cooperae;Melomys;Muridae;RODENTIA
;Paraxerus cooperi;Paraxerus;Sciuridae;RODENTIA
;Synaptomys cooperi;Synaptomys;Cricetidae;RODENTIA
Lémur ratón gigante de Coquerel;Mirza coquereli;Mirza;Cheirogaleidae;PRIMATES
Sifaca de Coquerel;Propithecus coquereli;Propithecus;Indridae;PRIMATES
;Cardioderma cor;Cardioderma;Megadermatidae;CHIROPTERA
;Lepus coreanus;Lepus;Leporidae;LAGOMORPHA
Zarigüeya de cola anillada recubierta de felpa;Pseudochirops corinnae;Pseudochirops;Pseudocheiridae;DIPROTODONTIA
;Rhinolophus cornutus;Rhinolophus;Rhinolophidae;CHIROPTERA
;Pipistrellus coromandra;Pipistrellus;Vespertilionidae;CHIROPTERA
;Pseudochirops coronatus;Pseudochirops;Pseudocheiridae;DIPROTODONTIA
Lémur coronado;Eulemur coronatus;Eulemur;Lemuridae;PRIMATES
;Sorex coronatus;Sorex;Soricidae;SORICOMORPHA
;Hipposideros coronatus;Hipposideros;Hipposideridae;CHIROPTERA
;Amblysomus corriae;Amblysomus;Chrysochloridae;AFROSORICIDA
Zorro Corsac;Vulpes corsac;Vulpes;Canidae;CARNIVORA
;Lepus corsicanus;Lepus;Leporidae;LAGOMORPHA
;Hipposideros corynophyllus;Hipposideros;Hipposideridae;CHIROPTERA
Loris de Sonda;Nycticebus coucang;Nycticebus;Lorisidae;PRIMATES
Lupita;Mastomys coucha;Mastomys;Muridae;RODENTIA
;Oryzomys couesi;Oryzomys;Cricetidae;RODENTIA
;Rhipidomys couesi;Rhipidomys;Cricetidae;RODENTIA
;Microgale cowani;Microgale;Tenrecidae;AFROSORICIDA
;Hipposideros coxi;Hipposideros;Hipposideridae;CHIROPTERA
;Ctenomys coyhaiquensis;Ctenomys;Ctenomyidae;RODENTIA
Coipú;Myocastor coypus;Myocastor;Myocastoridae;RODENTIA
;Mimon cozumelae;Mimon;Phyllostomidae;CHIROPTERA
;Marmosops cracens;Marmosops;Didelphidae;DIDELPHIMORPHIA
Jerbo pigmeo de cola gruesa;Salpingotus crassicauda;Salpingotus;Dipodidae;RODENTIA
;Bdeogale crassicauda;Bdeogale;Herpestidae;CARNIVORA
;Lutreolina crassicaudata;Lutreolina;Didelphidae;DIDELPHIMORPHIA
Ratón marsupial de cola gruesa;Sminthopsis crassicaudata;Sminthopsis;Dasyuridae;DASYUROMORPHIA
Pangolín chino;Manis crassicaudata;Manis;Manidae;PHOLIDOTA
Gálago de cola ancha;Otolemur crassicaudatus;Otolemur;Galagidae;PRIMATES
;Graphiurus crassicaudatus;Graphiurus;Gliridae;RODENTIA
;Pronolagus crassicaudatus;Pronolagus;Leporidae;LAGOMORPHA
Falsa orca;Pseudorca crassidens;Pseudorca;Delphinidae;CETACEA
;Hystrix crassispinis;Hystrix;Hystricidae;RODENTIA
;Hypsugo crassulus;Hypsugo;Vespertilionidae;CHIROPTERA
;Meriones crassus;Meriones;Muridae;RODENTIA
;Lagostomus crassus;Lagostomus;Chinchillidae;RODENTIA
;Notiosorex crawfordi;Notiosorex;Soricidae;SORICOMORPHA
;Rhinolophus creaghi;Rhinolophus;Rhinolophidae;CHIROPTERA
;Niviventer cremoriventer;Niviventer;Muridae;RODENTIA
;Crocidura crenata;Crocidura;Soricidae;SORICOMORPHA
;Dobsonia crenulata;Dobsonia;Pteropodidae;CHIROPTERA
;Mimon crenulatum;Mimon;Phyllostomidae;CHIROPTERA
;Reithrodontomys creper;Reithrodontomys;Cricetidae;RODENTIA
;Cricetus cricetus;Cricetus;Cricetidae;RODENTIA
Muntíaco negro;Muntiacus crinifrons;Muntiacus;Cervidae;ARTIODACTYLA
;Petinomys crinitus;Petinomys;Sciuridae;RODENTIA
Ratón del cañón;Peromyscus crinitus;Peromyscus;Cricetidae;RODENTIA
Serau japonés;Capricornis crispus;Capricornis;Bovidae;ARTIODACTYLA
Puercoespín crestado;Hystrix cristata;Hystrix;Hystricidae;RODENTIA
;Dasyprocta cristata;Dasyprocta;Dasyproctidae;RODENTIA
Topo de nariz estrellada;Condylura cristata;Condylura;Talpidae;SORICOMORPHA
;Genetta cristata;Genetta;Viverridae;CARNIVORA
Lobo de tierra;Proteles cristata;Proteles;Hyaenidae;CARNIVORA
Foca de casco;Cystophora cristata;Cystophora;Phocidae;CARNIVORA
Lutung plateado;Trachypithecus cristatus;Trachypithecus;Cercopithecidae;PRIMATES
;Dasycercus cristicauda;Dasycercus;Dasyuridae;DASYUROMORPHIA
;Mus crociduroides;Mus;Muridae;RODENTIA
Hiena moteada;Crocuta crocuta;Crocuta;Hyaenidae;CARNIVORA
;Crocidura crossei;Crocidura;Soricidae;SORICOMORPHA
;Cheirogaleus crossleyi;Cheirogaleus;Cheirogaleidae;PRIMATES
;Lagenorhynchus cruciger;Lagenorhynchus;Delphinidae;CETACEA
;Hipposideros crumeniferus;Hipposideros;Hipposideridae;CHIROPTERA
;Diomys crumpi;Diomys;Muridae;RODENTIA
;Megadontomys cryophilus;Megadontomys;Cricetidae;RODENTIA
;Epomophorus crypturus;Epomophorus;Pteropodidae;CHIROPTERA
;Myotis csorbai;Myotis;Vespertilionidae;CHIROPTERA
;Paradipus ctenodactylus;Paradipus;Dipodidae;RODENTIA
;Otomys cuanzensis;Otomys;Muridae;RODENTIA
;Solenodon cubanus;Solenodon;Solenodontidae;SORICOMORPHA
;Nycticeius cubanus;Nycticeius;Vespertilionidae;CHIROPTERA
;Galictis cuja;Galictis;Mustelidae;CARNIVORA
Pangolín filipino;Manis culionensis;Manis;Manidae;PHOLIDOTA
;Lycalopex culpaeus;Lycalopex;Canidae;CARNIVORA
;Anoura cultrata;Anoura;Phyllostomidae;CHIROPTERA
;Niviventer culturatus;Niviventer;Muridae;RODENTIA
;Phloeomys cumingi;Phloeomys;Muridae;RODENTIA
;Sylvilagus cunicularius;Sylvilagus;Leporidae;LAGOMORPHA
;Orthogeomys cuniculus;Orthogeomys;Geomyidae ;RODENTIA
Conejo;Oryctolagus cuniculus;Oryctolagus;Leporidae;LAGOMORPHA
;Trichosurus cunninghami;Trichosurus;Phalangeridae;DIPROTODONTIA
;Steatomys cuppedius;Steatomys;Nesomyidae;RODENTIA
Zarigüeya de cola anillada cobriza;Pseudochirops cupreus;Pseudochirops;Pseudocheiridae;DIPROTODONTIA
Tití cobrizo;Callicebus cupreus;Callicebus;Pitheciidae;PRIMATES
;Moschus cupreus;Moschus;Moschidae;ARTIODACTYLA
;Kerivoula cuprosa;Kerivoula;Vespertilionidae;CHIROPTERA
;Arielulus cuprosus;Arielulus;Vespertilionidae;CHIROPTERA
;Oryzomys curasoae;Oryzomys;Cricetidae;RODENTIA
;Leptonycteris curasoae;Leptonycteris;Phyllostomidae;CHIROPTERA
;Megaoryzomys curioi;Megaoryzomys;Cricetidae;RODENTIA
;Molossus currentium;Molossus;Molossidae;CHIROPTERA
;Glauconycteris curryae;Glauconycteris;Vespertilionidae;CHIROPTERA
;Akodon cursor;Akodon;Cricetidae;RODENTIA
;Lemmiscus curtatus;Lemmiscus;Cricetidae;RODENTIA
;Allocricetulus curtatus;Allocricetulus;Cricetidae;RODENTIA
;Hipposideros curtus;Hipposideros;Hipposideridae;CHIROPTERA
Pica de meseta;Ochotona curzoniae;Ochotona;Ochotonidae;LAGOMORPHA
;Eothenomys custos;Eothenomys;Cricetidae;RODENTIA
;Cremnomys cutchicus;Cremnomys;Muridae;RODENTIA
;Proechimys cuvieri;Proechimys;Echimyidae;RODENTIA
;Gazella cuvieri;Gazella;Bovidae;ARTIODACTYLA
;Crocidura cyanea;Crocidura;Soricidae;SORICOMORPHA
;Spalacopus cyanus;Spalacopus;Octodontidae;RODENTIA
Macaco de Formosa;Macaca cyclopis;Macaca;Cercopithecidae;PRIMATES
;Hipposideros cyclops;Hipposideros;Hipposideridae;CHIROPTERA
;Loxodonta cyclotis;Loxodonta;Elephantidae;PROBOSCIDEA
;Nyctimene cyclotis;Nyctimene;Pteropodidae;CHIROPTERA
;Murina cyclotis;Murina;Vespertilionidae;CHIROPTERA
;Sorex cylindricauda;Sorex;Soricidae;SORICOMORPHA
Tigre de Tasmania;Thylacinus cynocephalus;Thylacinus;Thylacinidae;DASYUROMORPHIA
Papión;Papio cynocephalus;Papio;Cercopithecidae;PRIMATES
;Chlorocebus cynosuros;Chlorocebus;Cercopithecidae;PRIMATES
;Eumops dabbenei;Eumops;Molossidae;CHIROPTERA
;Dactylomys dactylinus;Dactylomys;Echimyidae;RODENTIA
;Tachyoryctes daemon;Tachyoryctes;Spalacidae;RODENTIA
;Microtus daghestanicus;Microtus;Cricetidae;RODENTIA
;Petropseudes dahli;Petropseudes;Pseudocheiridae;DIPROTODONTIA
;Meriones dahli;Meriones;Muridae;RODENTIA
Muflón de Dall;Ovis dalli;Ovis;Bovidae;ARTIODACTYLA
Marsopa de Dall;Phocoenoides dalli;Phocoenoides;Phocoenidae;CETACEA
;Chaetodipus dalquesti;Chaetodipus;Heteromyidae;RODENTIA
;Praomys daltoni;Praomys;Muridae;RODENTIA
Gamo;Dama dama;Dama;Cervidae;ARTIODACTYLA
Gacela dama;Nanger dama;Nanger;Bovidae;ARTIODACTYLA
Rata topo de Damara;Cryptomys damarensis;Cryptomys;Bathyergidae;RODENTIA
Órix de cuernos de cimitarra;Oryx dammah;Oryx;Bovidae;ARTIODACTYLA
;Hyomys dammermani;Hyomys;Muridae;RODENTIA
;Sorex daphaenodon;Sorex;Soricidae;SORICOMORPHA
;Thomasomys daphne;Thomasomys;Cricetidae;RODENTIA
;Reithrodontomys darienensis;Reithrodontomys;Cricetidae;RODENTIA
;Orthogeomys dariensis;Orthogeomys;Geomyidae ;RODENTIA
Rata topo Mashona;Cryptomys darlingi;Cryptomys;Bathyergidae;RODENTIA
;Rhinolophus darlingi;Rhinolophus;Rhinolophidae;CHIROPTERA
;Vespadelus darlingtoni;Vespadelus;Vespertilionidae;CHIROPTERA
;Otomys dartmouthi;Otomys;Muridae;RODENTIA
;Nesoryzomys darwini;Nesoryzomys;Cricetidae;RODENTIA
;Phyllotis darwini;Phyllotis;Cricetidae;RODENTIA
;Myotis dasycneme;Myotis;Vespertilionidae;CHIROPTERA
;Pteropus dasymallus;Pteropus;Pteropodidae;CHIROPTERA
;Phyllomys dasythrix;Phyllomys;Echimyidae;RODENTIA
;Oxymycterus dasytrichus;Oxymycterus;Cricetidae;RODENTIA
;Dipodillus dasyurus;Dipodillus;Muridae;RODENTIA
;Apomys datae;Apomys;Muridae;RODENTIA
;Myopterus daubentonii;Myopterus;Molossidae;CHIROPTERA
Murciélago ribereño;Myotis daubentonii;Myotis;Vespertilionidae;CHIROPTERA
Ardilla de tierra Daurian;Spermophilus dauricus;Spermophilus;Sciuridae;RODENTIA
;Ochotona dauurica;Ochotona;Ochotonidae;LAGOMORPHA
;Mesechinus dauuricus;Mesechinus;Erinaceidae;ERINACEOMORPHA
;Sundasciurus davensis;Sundasciurus;Sciuridae;RODENTIA
;Echymipera davidi;Echymipera;Peramelidae;PERAMELEMORPHIA
;Talpa davidiana;Talpa;Talpidae;SORICOMORPHA
;Sciurotamias davidianus;Sciurotamias;Sciuridae;RODENTIA
Ciervo del Padre David;Elaphurus davidianus;Elaphurus;Cervidae;ARTIODACTYLA
Myotis de David;Myotis davidii;Myotis;Vespertilionidae;CHIROPTERA
;Glyphonycteris daviesi;Glyphonycteris;Phyllostomidae;CHIROPTERA
;Pteronotus davyi;Pteronotus;Mormoopidae;CHIROPTERA
;Akodon dayi;Akodon;Cricetidae;RODENTIA
;Suncus dayi;Suncus;Soricidae;SORICOMORPHA
;Mungotictis decemlineata;Mungotictis;Eupleridae;CARNIVORA
;Propithecus deckenii;Propithecus;Indridae;PRIMATES
;Rhinolophus deckenii;Rhinolophus;Rhinolophidae;CHIROPTERA
;Proechimys decumanus;Proechimys;Echimyidae;RODENTIA
;Phyllotis definitus;Phyllotis;Cricetidae;RODENTIA
;Dephomys defua;Dephomys;Muridae;RODENTIA
;Lasiurus degelidus;Lasiurus;Vespertilionidae;CHIROPTERA
;Praomys degraaffi;Praomys;Muridae;RODENTIA
Degú;Octodon degus;Octodon;Octodontidae;RODENTIA
;Lonchophylla dekeyseri;Lonchophylla;Phyllostomidae;CHIROPTERA
;Trachypithecus delacouri;Trachypithecus;Cercopithecidae;PRIMATES
;Hapalomys delacouri;Hapalomys;Muridae;RODENTIA
;Oxymycterus delator;Oxymycterus;Cricetidae;RODENTIA
Ratón de pelo suave delicioso;Praomys delectorum;Praomys;Muridae;RODENTIA
;Chelemys delfini;Chelemys;Cricetidae;RODENTIA
;Habromys delicatulus;Habromys;Cricetidae;RODENTIA
;Pseudomys delicatulus;Pseudomys;Muridae;RODENTIA
;Salinomys delicatus;Salinomys;Cricetidae;RODENTIA
Delfín común costero;Delphinus delphis;Delphinus;Delphinidae;CETACEA
;Oligoryzomys delticola;Oligoryzomys;Cricetidae;RODENTIA
;Micoureus demerarae;Micoureus;Didelphidae;DIDELPHIMORPHIA
Gálago del príncipe Demidoff;Galago demidoff;Galago;Galagidae;PRIMATES
;Hipposideros demissus;Hipposideros;Hipposideridae;CHIROPTERA
;Mops demonstrator;Mops;Molossidae;CHIROPTERA
;Hylomyscus denniae;Hylomyscus;Muridae;RODENTIA
Zifio de Blainville;Mesoplodon densirostris;Mesoplodon;Ziphiidae;CETACEA
;Tarsius dentatus;Tarsius;Tarsiidae;PRIMATES
;Batomys dentatus;Batomys;Muridae;RODENTIA
;Cercopithecus denti;Cercopithecus;Cercopithecidae;PRIMATES
;Otomys denti;Otomys;Muridae;RODENTIA
;Crocidura denti;Crocidura;Soricidae;SORICOMORPHA
;Rhinolophus denti;Rhinolophus;Rhinolophidae;CHIROPTERA
;Eudiscopus denticulus;Eudiscopus;Vespertilionidae;CHIROPTERA
;Sciurus deppei;Sciurus;Sciuridae;RODENTIA
Anoa de llanura;Bubalus depressicornis;Bubalus;Bovidae;ARTIODACTYLA
;Caluromys derbianus;Caluromys;Didelphidae;DIDELPHIMORPHIA
;Anomalurus derbianus;Anomalurus;Anomaluridae;RODENTIA
;Taurotragus derbianus;Taurotragus;Bovidae;ARTIODACTYLA
;Hemigalus derbyanus;Hemigalus;Viverridae;CARNIVORA
;Praomys derooi;Praomys;Muridae;RODENTIA
;Dipodomys deserti;Dipodomys;Heteromyidae;RODENTIA
;Pipistrellus deserti;Pipistrellus;Vespertilionidae;CHIROPTERA
Ratón del desierto;Pseudomys desertor;Pseudomys;Muridae;RODENTIA
;Heteromys desmarestianus;Heteromys;Heteromyidae;RODENTIA
;Megalomys desmarestii;Megalomys;Cricetidae;RODENTIA
;Crocidura desperata;Crocidura;Soricidae;SORICOMORPHA
;Oligoryzomys destructor;Oligoryzomys;Cricetidae;RODENTIA
;Neotoma devia;Neotoma;Cricetidae;RODENTIA
;Oryzomys devius;Oryzomys;Cricetidae;RODENTIA
;Crocidura dhofarensis;Crocidura;Soricidae;SORICOMORPHA
Sifaca diademado;Propithecus diadema;Propithecus;Indridae;PRIMATES
;Hipposideros diadema;Hipposideros;Hipposideridae;CHIROPTERA
Cercopiteco diana;Cercopithecus diana;Cercopithecus;Cercopithecidae;PRIMATES
;Emballonura dianae;Emballonura;Emballonuridae;CHIROPTERA
;Romerolagus diazi;Romerolagus;Leporidae;LAGOMORPHA
;Sylvilagus dicei;Sylvilagus;Leporidae;LAGOMORPHA
;Blastocerus dichotomus;Blastocerus;Cervidae;ARTIODACTYLA
;Peromyscus dickeyi;Peromyscus;Cricetidae;RODENTIA
Perezoso de dos dedos de Linnaeus;Choloepus didactylus;Choloepus;Megalonychidae;PILOSA
Oso hormiguero sedoso;Cyclopes didactylus;Cyclopes;Cyclopedidae;PILOSA
;Makalata didelphoides;Makalata;Echimyidae;RODENTIA
;Lophuromys dieterleni;Lophuromys;Muridae;RODENTIA
;Peromyscus difficilis;Peromyscus;Cricetidae;RODENTIA
Rata de hierba de cuatro rayas de Mesic;Rhabdomys dilectus;Rhabdomys;Muridae;RODENTIA
;Monodelphis dimidiata;Monodelphis;Didelphidae;DIDELPHIMORPHIA
;Oryzomys dimidiatus;Oryzomys;Cricetidae;RODENTIA
;Acomys dimidiatus;Acomys;Muridae;RODENTIA
;Trinomys dimidiatus;Trinomys;Echimyidae;RODENTIA
;Eptesicus diminutus;Eptesicus;Vespertilionidae;CHIROPTERA
;Eptesicus dimissus;Eptesicus;Vespertilionidae;CHIROPTERA
;Scotophilus dinganii;Scotophilus;Vespertilionidae;CHIROPTERA
;Hipposideros dinops;Hipposideros;Hipposideridae;CHIROPTERA
;Phocoena dioptrica;Phocoena;Phocoenidae;CETACEA
;Thyroptera discifera;Thyroptera;Thyropteridae;CHIROPTERA
;Callicebus discolor;Callicebus;Pitheciidae;PRIMATES
Murciélago de nariz de lanza;Phyllostomus discolor;Phyllostomus;Phyllostomidae;CHIROPTERA
;Sorex dispar;Sorex;Soricidae;SORICOMORPHA
;Chlorocebus djamdjamensis;Chlorocebus;Cercopithecidae;PRIMATES
;Microgale dobsoni;Microgale;Tenrecidae;AFROSORICIDA
;Epomops dobsonii;Epomops;Pteropodidae;CHIROPTERA
;Cercopithecus doggetti;Cercopithecus;Cercopithecidae;PRIMATES
;Microtus dogramacii;Microtus;Cricetidae;RODENTIA
;Sminthopsis dolichura;Sminthopsis;Dasyuridae;DASYUROMORPHIA
;Crocidura dolichura;Crocidura;Soricidae;SORICOMORPHA
Rata de matorral del bosque;Grammomys dolichurus;Grammomys;Muridae;RODENTIA
;Maxomys dollmani;Maxomys;Muridae;RODENTIA
;Melomys dollmani;Melomys;Muridae;RODENTIA
;Otomys dollmani;Otomys;Muridae;RODENTIA
;Akodon dolores;Akodon;Cricetidae;RODENTIA
Zarigüeya;Monodelphis domestica;Monodelphis;Didelphidae;DIDELPHIMORPHIA
;Paruromys dominator;Paruromys;Muridae;RODENTIA
;Myotis dominicensis;Myotis;Vespertilionidae;CHIROPTERA
;Graomys domorum;Graomys;Cricetidae;RODENTIA
Tití de orejas blancas;Callicebus donacophilus;Callicebus;Pitheciidae;PRIMATES
;Gerbillus dongolanus;Gerbillus;Muridae;RODENTIA
;Ctenomys dorbignyi;Ctenomys;Ctenomyidae;RODENTIA
Gacela común;Gazella dorcas;Gazella;Bovidae;ARTIODACTYLA
;Phascolosorex doriae;Phascolosorex;Dasyuridae;DASYUROMORPHIA
;Hipposideros doriae;Hipposideros;Hipposideridae;CHIROPTERA
;Chiroderma doriae;Chiroderma;Phyllostomidae;CHIROPTERA
;Mormopterus doriae;Mormopterus;Molossidae;CHIROPTERA
;Hesperoptenus doriae;Hesperoptenus;Vespertilionidae;CHIROPTERA
;Dendrolagus dorianus;Dendrolagus;Macropodidae;DIPROTODONTIA
;Scotozous dormeri;Scotozous;Vespertilionidae;CHIROPTERA
;Marmosops dorothea;Marmosops;Didelphidae;DIDELPHIMORPHIA
;Phascolosorex dorsalis;Phascolosorex;Dasyuridae;DASYUROMORPHIA
;Macropus dorsalis;Macropus;Macropodidae;DIPROTODONTIA
;Dendrohyrax dorsalis;Dendrohyrax;Procaviidae;HYRACOIDEA
;Tupaia dorsalis;Tupaia;Tupaiidae;SCANDENTIA
Lémur juguetón de lomo gris;Lepilemur dorsalis;Lepilemur;Lepilemuridae;PRIMATES
;Tamias dorsalis;Tamias;Sciuridae;RODENTIA
;Delomys dorsalis;Delomys;Cricetidae;RODENTIA
;Ctenomys dorsalis;Ctenomys;Ctenomyidae;RODENTIA
;Platyrrhinus dorsalis;Platyrrhinus;Phyllostomidae;CHIROPTERA
;Cephalophus dorsalis;Cephalophus;Bovidae;ARTIODACTYLA
Puercoespín norteamericano;Erethizon dorsata;Erethizon;Erethizontidae;RODENTIA
;Crocidura douceti;Crocidura;Soricidae;SORICOMORPHA
;Sminthopsis douglasi;Sminthopsis;Dasyuridae;DASYUROMORPHIA
;Tamiasciurus douglasii;Tamiasciurus;Sciuridae;RODENTIA
;Vespadelus douglasorum;Vespadelus;Vespertilionidae;CHIROPTERA
;Apodemus draco;Apodemus;Muridae;RODENTIA
;Nyctimene draconilla;Nyctimene;Pteropodidae;CHIROPTERA
Dromedario;Camelus dromedarius;Camelus;Camelidae;ARTIODACTYLA
;Microgale drouhardi;Microgale;Tenrecidae;AFROSORICIDA
;Gracilinanus dryas;Gracilinanus;Didelphidae;DIDELPHIMORPHIA
;Microgale dryas;Microgale;Tenrecidae;AFROSORICIDA
;Cercopithecus dryas;Cercopithecus;Cercopithecidae;PRIMATES
;Grammomys dryas;Grammomys;Muridae;RODENTIA
;Crocidura dsinezumi;Crocidura;Soricidae;SORICOMORPHA
;Bauerus dubiaquercus;Bauerus;Vespertilionidae;CHIROPTERA
Tití de Hershkovitz;Callicebus dubius;Callicebus;Pitheciidae;PRIMATES
;Neacomys dubosti;Neacomys;Cricetidae;RODENTIA
;Lophuromys dudui;Lophuromys;Muridae;RODENTIA
Dugongo;Dugong dugon;Dugong;Dugongidae;SIRENIA
;Gerbillus dunni;Gerbillus;Muridae;RODENTIA
;Microtus duodecimcostatus;Microtus;Cricetidae;RODENTIA
Rata del desierto de cola crasa;Pachyuromys duprasi;Pachyuromys;Muridae;RODENTIA
Murciélago de la fruta de Madagascar;Eidolon dupreanum;Eidolon;Pteropodidae;CHIROPTERA
;Tamias durangae;Tamias;Sciuridae;RODENTIA
;Hipposideros durgadasi;Hipposideros;Hipposideridae;CHIROPTERA
;Semnopithecus dussumieri;Semnopithecus;Cercopithecidae;PRIMATES
;Chlorotalpa duthieae;Chlorotalpa;Chrysochloridae;AFROSORICIDA
;Rucervus duvaucelii;Rucervus;Cervidae;ARTIODACTYLA
;Chalinolobus dwyeri;Chalinolobus;Vespertilionidae;CHIROPTERA
;Hipposideros dyacorum;Hipposideros;Hipposideridae;CHIROPTERA
;Mylomys dybowskii;Mylomys;Muridae;RODENTIA
;Dologale dybowskii;Dologale;Herpestidae;CARNIVORA
;Trachypithecus ebenus;Trachypithecus;Cercopithecidae;PRIMATES
;Lasiurus ebenus;Lasiurus;Vespertilionidae;CHIROPTERA
;Epixerus ebii;Epixerus;Sciuridae;RODENTIA
;Neotomys ebriosus;Neotomys;Cricetidae;RODENTIA
;Dephomys eburneae;Dephomys;Muridae;RODENTIA
;Diphylla ecaudata;Diphylla;Phyllostomidae;CHIROPTERA
;Chaeropus ecaudatus;Chaeropus;Chaeropodidae;PERAMELEMORPHIA
Tenrec común;Tenrec ecaudatus;Tenrec;Tenrecidae;AFROSORICIDA
;Megaerops ecaudatus;Megaerops;Pteropodidae;CHIROPTERA
;Tarsomys echinatus;Tarsomys;Muridae;RODENTIA
;Echymipera echinista;Echymipera;Peramelidae;PERAMELEMORPHIA
;Proechimys echinothrix;Proechimys;Echimyidae;RODENTIA
;Andinomys edax;Andinomys;Cricetidae;RODENTIA
;Olallamys edax;Olallamys;Echimyidae;RODENTIA
Rorcual tropical;Balaenoptera edeni;Balaenoptera;Balaenopteridae;CETACEA
;Graomys edithae;Graomys;Cricetidae;RODENTIA
;Nesophontes edithae;Nesophontes;Nesophontidae;SORICOMORPHA
Musaraña elefante del Cabo;Elephantulus edwardii;Elephantulus;Macroscelididae;MACROSCELIDEA
;Hipposideros edwardshilli;Hipposideros;Hipposideridae;CHIROPTERA
;Lepilemur edwardsi;Lepilemur;Lepilemuridae;PRIMATES
Sifaca de Milne-Edwards;Propithecus edwardsi;Propithecus;Indridae;PRIMATES
Rata gigante cola larga de Edwards;Leopoldamys edwardsi;Leopoldamys;Muridae;RODENTIA
;Malacomys edwardsi;Malacomys;Muridae;RODENTIA
;Herpestes edwardsi;Herpestes;Herpestidae;CARNIVORA
;Notiomys edwardsii;Notiomys;Cricetidae;RODENTIA
;Scleronycteris ega;Scleronycteris;Phyllostomidae;CHIROPTERA
;Lasiurus ega;Lasiurus;Vespertilionidae;CHIROPTERA
;Glauconycteris egeria;Glauconycteris;Vespertilionidae;CHIROPTERA
;Lasiurus egregius;Lasiurus;Vespertilionidae;CHIROPTERA
;Niviventer eha;Niviventer;Muridae;RODENTIA
Topo rata ciega del Medio Este;Spalax ehrenbergi;Spalax;Spalacidae;RODENTIA
;Lophuromys eisentrauti;Lophuromys;Muridae;RODENTIA
;Crocidura eisentrauti;Crocidura;Soricidae;SORICOMORPHA
;Myosorex eisentrauti;Myosorex;Soricidae;SORICOMORPHA
;Hypsugo eisentrauti;Hypsugo;Vespertilionidae;CHIROPTERA
;Rattus elaphinus;Rattus;Muridae;RODENTIA
Ciervo común;Cervus elaphus;Cervus;Cervidae;ARTIODACTYLA
;Allactaga elater;Allactaga;Dipodidae;RODENTIA
;Dipodomys elator;Dipodomys;Heteromyidae;RODENTIA
;Calomyscus elburzensis;Calomyscus;Calomyscidae;RODENTIA
;Rucervus eldii;Rucervus;Cervidae;ARTIODACTYLA
Delfín de cabeza de melón;Peponocephala electra;Peponocephala;Delphinidae;CETACEA
;Phaner electromontis;Phaner;Cheirogaleidae;PRIMATES
;Thylamys elegans;Thylamys;Didelphidae;DIDELPHIMORPHIA
;Petaurista elegans;Petaurista;Sciuridae;RODENTIA
;Spermophilus elegans;Spermophilus;Sciuridae;RODENTIA
;Leptomys elegans;Leptomys;Muridae;RODENTIA
;Macruromys elegans;Macruromys;Muridae;RODENTIA
;Margaretamys elegans;Margaretamys;Muridae;RODENTIA
;Nectogale elegans;Nectogale;Soricidae;SORICOMORPHA
;Myotis elegans;Myotis;Vespertilionidae;CHIROPTERA
;Galidia elegans;Galidia;Eupleridae;CARNIVORA
;Euoticus elegantulus;Euoticus;Galagidae;PRIMATES
;Thomasomys eleusis;Thomasomys;Cricetidae;RODENTIA
;Crocidura elgonius;Crocidura;Soricidae;SORICOMORPHA
;Trinomys eliasi;Trinomys;Echimyidae;RODENTIA
;Oligoryzomys eliurus;Oligoryzomys;Cricetidae;RODENTIA
;Eliurus ellermani;Eliurus;Nesomyidae;RODENTIA
;Pseudohydromys ellermani;Pseudohydromys;Muridae;RODENTIA
;Anathana ellioti;Anathana;Tupaiidae;SCANDENTIA
;Golunda ellioti;Golunda;Muridae;RODENTIA
Antílope acuático;Kobus ellipsiprymnus;Kobus;Bovidae;ARTIODACTYLA
;Crocidura elongata;Crocidura;Soricidae;SORICOMORPHA
;Phyllostomus elongatus;Phyllostomus;Phyllostomidae;CHIROPTERA
;Rhinolophus eloquens;Rhinolophus;Rhinolophidae;CHIROPTERA
;Cremnomys elvira;Cremnomys;Muridae;RODENTIA
;Sorex emarginatus;Sorex;Soricidae;SORICOMORPHA
;Myotis emarginatus;Myotis;Vespertilionidae;CHIROPTERA
;Dobsonia emersa;Dobsonia;Pteropodidae;CHIROPTERA
;Gracilinanus emiliae;Gracilinanus;Didelphidae;DIDELPHIMORPHIA
;Monodelphis emiliae;Monodelphis;Didelphidae;DIDELPHIMORPHIA
;Callithrix emiliae;Callithrix;Cebidae;PRIMATES
